claim	text	argument_sum	argument_annotator_1	stance_annotator_1	aspect_1_annotator_1	aspect_2_annotator_1	aspect_3_annotator_1	argument_annotator_2	stance_annotator_2	aspect_1_annotator_2	aspect_2_annotator_2	aspect_3_annotator_2	argument_annotator_3	stance_annotator_3	aspect_1_annotator_3	aspect_2_annotator_3	aspect_3_annotator_3
Бумажные книги лучше электронных	ibigdan не считает электронные версии полезнее бумажных книг, хотя электронные книги стоят дешевле бумажных.	3	1	против	Деньги			1	против	Деньги			1	против	Деньги		
Бумажные книги лучше электронных	Более половины американцев пользуются бумажными книгами в качестве замены электронных книг.	3	1	за		Популярность		1	за		Популярность		1	за		Популярность	
Бумажные книги лучше электронных	Бумажные книги дешевле электронных тем более, что электронный формат книг имеет более длительный срок службы.	3	1	и за, и против	Деньги			1	и за, и против	Деньги	Удобство и комфорт		1	и за, и против	Удобство и комфорт	Стоимость	
Бумажные книги лучше электронных	В России уже имеется около трехсот электронных библиотек.	2	1	за		Популярность		0					1	против	Удобство и комфорт	Популярность	
Бумажные книги лучше электронных	Другое преимущество в том, что при изготовлении бумажной книги отсутствует необходимость сгибать её.	2	1	за	Удобство и комфорт			1	за	Удобство и комфорт			0				
Бумажные книги лучше электронных	Из-за того что бумажные книги имеют меньшее время жизни, а книги электронных книг в сотни раз короче бумажных, то бумажные книги более дешёвые.	3	1	за	Деньги			1	и за, и против	Удобство и комфорт	Стоимость		1	и за, и против	Удобство и комфорт	Стоимость	
Бумажные книги лучше электронных	Как заявил в ноябре 2011 года в интервью Buzzfeed директор Института исследований операций на финансовых рынках Фил Блейк (Phil Blake), люди все чаще покупают бумажные книги, хотя в век технологий электронные можно найти в каждом доме.	3	1	за		Популярность		1	за		Популярность		1	и за, и против	Удобство и комфорт	Популярность	
Бумажные книги лучше электронных	Оцифровка и распространение книг как в бумажных, так и в электронных книгах, а также тиражирование их на различных носителях обеспечивают дополнительную безопасность.	2	0					1	за	Безопасность			1	против	Удобство и комфорт		
Бумажные книги лучше электронных	Электронная книга  это не только красивый и удобный цифровой продукт, который можно держать в руках, но и инструмент коммуникации, в том числе и политический.	3	1	против	Удобство и комфорт			1	против	Удобство и комфорт	Общение с людьми		1	за	Удобство и комфорт		
Бумажные книги лучше электронных	Электронная книга также поддерживает множество полезных приложений, в том числе для совместной работы, совместной работы с документами, совместной деятельности с видео и т.д.анкционированное использование произведения  является основанием  для  создания  электронных  книг,  которые  являются  бесплатными,  нерегулируемыми  и  в  ряде случаев  бесплатным  образом предоставляются  для использования  любым  желающим, в  том числе и некоммерческим организациям, в частности,  библиотекам.анкционированный  доступ  к  электронным  изданиям  может быть  использован  для осуществления пропаганды,  агитации,  принуждения  граждан  к чтению  произведения  и   распространения   порнографических   материалов,   в	3	1	против	Удобство и комфорт			1	и за, и против	Удобство и комфорт	Стоимость	Безопасность	1	против	Удобство и комфорт		
Бумажные книги лучше электронных	Электронные книги лучше обычных, так как они не содержат больших текстовых данных.вольте приветствовать нас в мире, где люди в большинстве случаев используют электронную почту, в том числе при переписке в социальных сетях.вольте поинтересоваться вашим мнением о книге, которую вы только что прочли.ройте информацию о вашем электронном друге, найдите его в Google, Facebook или LinkedIn.райтесь найти в Интернете как можно больше информации об электронных книгах и об электронном издании, с которым вы только начинаете знакомство с этой системой.будьте осторожны, читая электронные книги.вашему электронному другу может потребоваться некоторое время на то, чтобы узнать о вас все, что известно о вас, так что не теряйте его из	2	1	против	Удобство и комфорт			1	и за, и против	Удобство и комфорт	Безопасность		0				
Бумажные книги лучше электронных	Эффективность онлайн-библиотек существенно выше, чем традиционных бумажных носителей, считают эксперты.	2	1	против		Эффективность		1	против		Эффективность		0				
Видеоигры позитивно влияют на человека	"А также не следует забывать, что не меньшее влияние на здоровье человека может оказывать времяпрепровождение за видеоиграми.вольте привести примеры других видеоигр, которые позитивно повлияли на людей с разным уровнем интеллекта;ройте любые сведения о том, какой вред может нанести человеку длительная игровая зависимость, в том числе путём снижения когнитивных функций, снижения обучаемости и ухудшения социальной адаптации.ройте сведения о вреде, наносимом человеку длительной игровой зависимостью, в частности путём снижения познавательных функций, уменьшения обучаемости, ухудшения семейной адаптации.entionweb.org  позитивно влияет на здоровье, а ещё это очень удобно, т. к. не нужно часами сидеть за компьютером и загружать себя вся"	2	0					1	против	Влияние на здоровье			1	против	Влияние на здоровье		
Видеоигры позитивно влияют на человека	Аспект  Влияние  на  здоровье  в  значительной степени  может быть  определено  благодаря  тем  особенностям,  которые  имеют  видеоигры,  включая  их  способность  имитировать  человеческую  психику и поведение, а также к тому, что  в процессе игры происходит накопление стресса, связанного с игрой, что в свою очередь в свою  очередь  приводит к изменению  внутренних  регуляторных  механизмов,  снижая  способность мозга к  восстановлению  после  воздействия  стресса,  а  в отдельных случаях и к полной утрате  способности  к  саморегуляции.ccording Пон Фросовест	3	1	против	Влияние на здоровье			1	против	Влияние на здоровье			1	против	Влияние на здоровье		
Видеоигры позитивно влияют на человека	В исследовании было показано, что те, кто играет в видеоигры, в 2,5 раза чаще страдают заболеванием сосудов головного мозга по сравнению с теми, кто не играет в игры.	3	1	против	Влияние на здоровье			1	против	Влияние на здоровье			1	против	Влияние на здоровье		
Видеоигры позитивно влияют на человека	В ходе исследования медики изучили влияние игр на людей и пришли к выводу, что люди, игравшие в видеоигры, страдают от различных болезней чаще.	3	1	против	Влияние на здоровье			1	против	Влияние на здоровье			1	против	Влияние на здоровье		
Видеоигры позитивно влияют на человека	Видеоигры и компьютерные игры приводят к преждевременной смерти, депрессии и нарушению психики, что делает их употребление небезопасным.	3	1	против	Влияние на здоровье			1	против	Влияние на здоровье			1	против	Влияние на здоровье		
Видеоигры позитивно влияют на человека	Игроки видеоигр часто испытывают стресс от бездействия во время игры, поэтому у них развивается игровая зависимость, что в итоге приводит к потере мотивации и потере мотивации и интереса к игре.	3	1	против	Влияние на здоровье			1	против	Влияние на здоровье			1	против	Влияние на здоровье		
Видеоигры позитивно влияют на человека	Игроманы, особенно те, которые занимаются видеоиграми ради удовольствия, обычно не имеют проблем со здоровьем в отличие от тех, кто не играет ради заработка.	3	1	за	Влияние на здоровье	Доходность		1	за	Влияние на здоровье			1	за	Влияние на здоровье		
Видеоигры позитивно влияют на человека	Исследователи считают, что видеоигры и компьютерная зависимость отрицательно влияют на мозг.	3	1	против	Влияние на здоровье			1	против	Влияние на здоровье			1	против	Влияние на здоровье		
Видеоигры позитивно влияют на человека	Как заявил в интервью телеканалу CNN известный телеведущий Джимми Киммел,  в  видеоиграх  есть  некая  асоциальность,  что в  определенных  условиях может  привести к  опасным  последствиям,  например,  летальному исходу.	3	1	против	Влияние на здоровье			1	против	Влияние на здоровье			1	против		Моральный аспект	
Видеоигры позитивно влияют на человека	Кроме того, были зафиксированы случаи  заражения  при  использовании  консолей  Nintendo  Xbox  и  PlayStation  3  в медицинских  учебных  заведениях,  говорится в отчете.фметоводитяфаксредагидрометеорологителегидрометрологителехимикгидромецветерологителеводительницаедетраккаровмехводительницымашиныдевушкадевушкаженщинаженщинадевушкапассажирыводительницегидромониторыавтобусавтостолицаавтобусвместесошошендрезинагидромоторыавтобусыводительницамгидроминоходыдевушкаавтобусводительницуавтобусдевушка	2	1	против	Влияние на здоровье			1	против	Влияние на здоровье			0				
Видеоигры позитивно влияют на человека	Кроме того, в ходе эксперимента игроки на компьютерах, использующих игры, обнаружили, что их мозг более активно обрабатывает визуальную информацию.	2	1	за	Влияние на здоровье			0					1	за	Влияние на здоровье		
Видеоигры позитивно влияют на человека	Кроме того, видеоигры являются одним из источников удовольствия.	3	1	за		Развлечение		1	за		Развлечение		1	за		Развлечение	
Видеоигры позитивно влияют на человека	Однако исследования, в которых участвовали 15-летние школьники, показали, что многие из них играли в видеоигры в отсутствие реальной угрозы жизни или здоровью и таким образом получали возможность выплеснуть свою агрессию.	3	1	за	Влияние на здоровье			1	за		Влияние на психику		1	за	Влияние на здоровье		
Видеоигры позитивно влияют на человека	Однако ученые из  Национального  института  здравоохранения  и  труда  отмечают, что  видеоигры не влияют на риск рака  молочной  железы  или  толстой  кишки.вольтеся позитивно смотреть  на  жизнь  и,  конечно,  играйте в  видео  игры  только  если  это  онлайн  форма  досуга,  а  не  обычное  дело.вольтетесь позитивно относиться  к  жизни  и всегда  помнить, что она  может быть очень опасной.шисьтеся позитиввно относиться  ко всем формам  социальной активности  и не  ограничивайте себя ни в чем, даже в занятиях спортом или танцах на  льду  под  песню	3	1	за	Влияние на здоровье			1	за	Влияние на здоровье			1	за	Влияние на здоровье		
Видеоигры позитивно влияют на человека	При этом, как известно, в США в 2010 году смертность при пользовании компьютером достигла 848 тыс.	3	1	против	Влияние на здоровье			1	против	Влияние на здоровье			1	против	Влияние на здоровье		
Видеоигры позитивно влияют на человека	При этом, по мнению ученых, чрезмерная активность в видеоигры ведет к нарушению обмена веществ и, как следствие, нарушению сна и аппетита.	3	1	против	Влияние на здоровье			1	против	Влияние на здоровье			1	против	Влияние на здоровье		
Видеоигры позитивно влияют на человека	Также он отметил, что многие исследования показывают, что онлайн-игры положительно влияют на здоровье и долголетие пожилых людей, а также людей с ожирением.	3	1	за	Влияние на здоровье			1	за	Влияние на здоровье			1	за	Влияние на здоровье		
Видеоигры позитивно влияют на человека	"ьы часто используют видеоигры для развития моторики и координации движений;"	3	1	за	Влияние на здоровье			1	за	Влияние на здоровье			1	за	Влияние на здоровье		
Видеоигры позитивно влияют на человека	ьысбые 3D-экранные видеоигры могут привести к психическим заболеваниям.Олег Кожемяко принял участие в открытии мемориала жертв авиакатастрофы Boeing 777 в Донбассе, передает сайт главы региона.	2	0					1	против	Влияние на здоровье			1	против	Влияние на здоровье		
Видеоигры позитивно влияют на человека	это связано с тем, что многие подростки проводят время за видеоиграми, в которых им дают шанс  использовать  способности  мозга  и  сознания  в  определенных  областях  своего  восприятия  реальности,  повышая  степень  своего развития  и,  соответственно,  шанс  успешного  получения  результата  в том  или  ином  из  многих  случаев,  о котором  в них  говорится.	3	1	за		Интеллектуальное развитие		1	за		Интеллектуальное развитие		1	за	Влияние на здоровье	Интеллектуальное развитие	
Гаджеты влияют на детей позитивно	В некоторых случаях дети при использовании гаджета, которое может привести к травмам или даже гибели, могут не заметить этого и нанести вред себе или окружающим, считают учёные.	3	1	против	Безопасность			1	против	Безопасность	Влияние на здоровье		1	против	Безопасность		
Гаджеты влияют на детей позитивно	В связи с этим эксперты ВОЗ и международной федерации здравоохранения призывают пользователей в будущем при пользовании гаджетами учитывать и такие факторы как: возможность получения травмы, риск заразиться инфекцией и т.п.	2	0					1	против	Безопасность	Влияние на здоровье		1	против	Безопасность		
Гаджеты влияют на детей позитивно	В случае, когда на человека совершается нападение, а потом выясняется, что злоумышленник использовал его телефон для того, чтобы передать информацию о нем, а также для совершения других противоправных действий, он рискует получить серьезные проблемы, в том числе и со здоровьем.обавок ко всему вышесказанному, многие психологи уверены, что в случае, если все-таки удалось вычислить обладателя номера, он не остановится на достигнутом и продолжит совершать звонки и сообщения, которые могут нести потенциальную опасность.	3	1	против	Безопасность			1	против	Безопасность	Влияние на здоровье		1	против	Безопасность		
Гаджеты влияют на детей позитивно	Исследование специалистов, проведённое в Канаде в 2013 году, показало, что смартфоны способны в разы увеличивать опасность несчастных случаев, а также значительно повлиять на психику.	3	1	против	Безопасность	Влияние на психику		1	против	Безопасность	Влияние на здоровье	Влияние на психику	1	против	Безопасность		
Гаджеты влияют на детей позитивно	Исследователи уверены, что мобильные телефоны используют в криминальных целях, а также  создают  риск для здоровья, подвергая опасности жизни других людей.??	3	1	против	Безопасность			1	против	Безопасность	Влияние на здоровье		1	против	Безопасность	Влияние на здоровье	
Гаджеты влияют на детей позитивно	Как считают эксперты, у такого использования мобильных телефонов есть свои противники, которые выступают против использования данных устройств в образовательных учреждениях, так как они могут провоцировать у детей агрессию и страх перед техникой.	3	1	против	Влияние на здоровье			1	против	Безопасность	Влияние на психику		1	против	Влияние на здоровье		
Гаджеты влияют на детей позитивно	На сайте есть приложение, благодаря которому родители могут контролировать детей на детской площадке.	2	1	за	Безопасность			0					1	за	Безопасность		
Гаджеты влияют на детей позитивно	По мнению детей, с помощью гаджетов они могут создавать стресс и получать физическую боль.ют: В 2005 году, на основе результатов исследования американского экономиста, опубликованных в Journal of Monetary Economics в 2005 году, американские финансирующие группу, спонсировали анонимный, провели, в результате чего к настоящему времени в США более 800.sds, а также более 80.sus, на основе данных, опубликованные в Journal Monet,, в апреле 2005 года,, были идентифицированы как .	3	1	против	Влияние на здоровье			1	против	Безопасность	Влияние на психику	Влияние на здоровье	1	против	Влияние на здоровье		
Гаджеты влияют на детей позитивно	Случаи мошенничества с использованием гаджетов в нашей стране можно по пальцам пересчитать.	2	0					1	за	Безопасность			1	за	Безопасность		
Гаджеты влияют на детей позитивно	ы и в настоящее время в результате применения электронных сервисов происходит снижение уровня преступности.	3	1	за	Безопасность			1	за	Безопасность			1	за	Безопасность		
Гаджеты влияют на детей позитивно	"ipad может играть роль ""зеркала"" вашего компьютера, которое может содержать данные обо всех вас, ваших действиях на устройстве, о ваших передвижениях."	2	1	против	Безопасность			0					1	против	Безопасность		
Гаджеты влияют на детей позитивно	ipads, которыми пользуется ребенок, можно рассматривать как интерактивную игру.	3	1	за		Интеллектуальное развитие		1	за		Развлечение		1	за		Развлечение	
Гаджеты влияют на детей позитивно	ipad-игры и приложения, предназначенные для занятий с их помощью, могут ухудшить или спровоцировать развитие заболеваний сердечно-сосудистой системы.	3	1	против	Влияние на здоровье			1	против	Влияние на здоровье			1	против	Влияние на здоровье		
Гаджеты влияют на детей позитивно	ipad-пользователей уже нельзя назвать полностью безопасными устройствами, но они способны снизить проявление агрессии и увеличить безопасность для других людей.	2	1	за	Влияние на здоровье			1	против	Безопасность	влияние на психику		0				
Гаджеты влияют на детей позитивно	Американцы, как и европейцы, страдают заболеваниями, вызванными применением гаджетов.	2	0					1	против	Влияние на здоровье			1	против	Влияние на здоровье		
Гаджеты влияют на детей позитивно	В 2014 году Всемирная организация здравоохранения и Международное агентство по изучению рака классифицировали гаджеты как канцероген, хотя они не имели отношения к онкологическим заболеваниям, вызванным излучением, как например, болезнь Боумена.вольте приветствовать вас на сайте проекта  The Making of a Smarter Mind, посвященного умному дому и умным устройствам.вольте уважать друг друга на сайте Termcool Technology Informatics, на котором подробно обсуждается, в частности, вопрос создания умных домов.ройте в земле полезные ископаемые, пользуйтесь плодами трудов своих предков, восхищайтесь достижениями гениев и учитесь на их ошибках. палубе вам будет обеспечен должный уровень	3	1	и за, и против	Влияние на здоровье			1	против	Влияние на здоровье			1	и за, и против	Влияние на здоровье		
Гаджеты влияют на детей позитивно	В исследовании приняли участие более 11 000 детей в возрасте до 15 лет из 32 стран мира, и выяснилось, что подростки, которые имеют современные гаджеты, значительно чаще имеют проблемы с психикой.	3	1	против	Влияние на здоровье			1	против	Влияние на здоровье	Влияние на психику		1	против	Влияние на здоровье		
Гаджеты влияют на детей позитивно	В итоге учёные из Калифорнийского технологического института (Caltech) заявили, что технологии по сбору данных и анализ полученных данных могут представлять угрозу для здоровья, поскольку позволяют получить информацию о психическом состоянии человека на основе только кратковременных наблюдений.	2	0					1	против	Влияние на здоровье			1	против	Безопасность		
Гаджеты влияют на детей позитивно	В настоящее же время есть данные о том, что длительное использование трекеров активности может негативно сказаться на состоянии здоровья человека.	3	1	против	Влияние на здоровье			1	против	Влияние на здоровье			1	против	Влияние на здоровье		
Гаджеты влияют на детей позитивно	В последнее время на планете значительно возросла возможность получить вредные воздействия от электроники, в частности от телефонов.	3	1	против	Влияние на здоровье			1	против	Влияние на здоровье			1	против	Влияние на здоровье		
Гаджеты влияют на детей позитивно	В результате длительного время провождения за экранами гаджетов у детей развивается зависимость от цифровых технологий.	3	1	против	Влияние на здоровье			1	против	Влияние на здоровье	Влияние на психику		1	против	Влияние на здоровье		
Гаджеты влияют на детей позитивно	В связи с этим, отмечается, что в случае возникновения заболеваний после контакта с гаджетами, у школьников снижается риск развития депрессии, и дети легче справляются с ситуацией.	3	1	и за, и против	Влияние на здоровье			1	и за, и против	Влияние на здоровье	Влияние на психику		1	за	Влияние на здоровье		
Гаджеты влияют на детей позитивно	В то время как смартфоны и другие устройства на их основе помогают детям развить навыки общения, такие как умение быстро выполнять команды и понимать устную речь, видеоигры стимулируют развитие навыков коммуникации.	3	1	за		Интеллектуальное развитие		1	за		Общение с людьми		1	за	Влияние на здоровье	Интеллектуальное развитие	Общение с людьми
Гаджеты влияют на детей позитивно	"Влияние телефона на здоровье может   негативно влиять   на детей   и влиять на   здоровье   у них     при этом могут быть   существенные   физические эффекты   от использования   телефона   в   непредвиденных   для   пользователя   условиях   например,   когда   аккумулятор   разряжен   или   ребенок   сильно   об этом   не   уведомлен   с   использованием   мобильного телефона ; в ; том числе   детям   часто   даже   достаточно   небольшой   подзарядки   чтобы   быстро   полностью   зарядиться"	2	1	против	Влияние на здоровье			1	против	Влияние на здоровье			0				
Гаджеты влияют на детей позитивно	Всемирная организация здравоохранения классифицирует мобильные телефоны как  потенциальный канцероген  и  потенциальную  опасность  для  человека,  когда  они  используются  без  специального  разрешения. с При Доccordinglevision television television network television television TV network television network TV network TV broadcast television TV broadcast radio broadcast tele broadcast radio radio broadcast TV broadcast tele network broadcast broadcast television broadcast television network broadcast radio network broadcast tele channel broadcast television channel broadcast TV network broadcast television host television host TV host TV broadcast TV host network broadcast TV broadcaster broadcast TV channel broadcast broadcorder broadcast TV television broadcarrier broadcast TV narrowcarriers broadcast TV radio broadcast radio broadcrowcarriors	3	1	против	Влияние на здоровье			1	против	Влияние на здоровье			1	против	Влияние на здоровье		
Гаджеты влияют на детей позитивно	Данные о воздействии смартфонов на ребёнка не отражают реальной угрозы и должны подвергаться тщательному анализу.	2	0					1	за	Влияние на здоровье			1	против	Влияние на здоровье		
Гаджеты влияют на детей позитивно	Детей с раннего возраста учат тому, что в мобильных гаджетах есть много вредных компонентов и нельзя брать их в руки.	2	1	против	влияние на здоровье			1	против	Влияние на здоровье			0				
Гаджеты влияют на детей позитивно	Дети используют технологии в соцсетях для того, чтобы знакомиться, общаться и находить себе друзей.	3	1	за	Удобство и комфорт			1	за		Общение с людьми		1	за		Общение с людьми	
Гаджеты влияют на детей позитивно	Доказано, что с развитием компьютерных технологий и интернета люди получают возможность быстро и эффективно делиться информацией.	3	1	за	Удобство и комфорт			1	за		Общение с людьми		1	за	Удобство и комфорт		
Гаджеты влияют на детей позитивно	Из-за смартфонов ребёнок страдает от нарушения сна, а также у него ухудшается общее состояние, что особенно заметно у подростков.	3	1	против	Влияние на здоровье			1	против	Влияние на здоровье	Влияние на психику		1	против	Влияние на здоровье		
Гаджеты влияют на детей позитивно	"Из-за этого у детей могут появиться существенные проблемы со здоровьем;,, может оказывать негативное влияние на здоровье человека, может привести к нарушению психических функций, может даже привести к депрессии."	2	0					1	против	Влияние на здоровье	Влияние на психику		1	против	Влияние на здоровье		
Гаджеты влияют на детей позитивно	К слову, в настоящее же время активно разрабатываются технологии, позволяющие контролировать состояние здоровья человека, используя данные о его активности.	2	0					1	за	Влияние на здоровье			1	за	Влияние на здоровье		
Гаджеты влияют на детей позитивно	Кроме того, они препятствуют нормальному росту и развитию мозга, в том числе и у маленьких детей.	2	1	против	Влияние на здоровье			1	против	Влияние на здоровье			0				
Гаджеты влияют на детей позитивно	"Кроме того, ученые доказали, что гаджет, позволяющий с его помощью совершать ""злонамеренные"" действия, провоцирует у детей повышенное выделение гормонов стресса, что негативно отражается на их психическом развитии."	3	1	против	Влияние на здоровье			1	против	Влияние на здоровье	Влияние на психику		1	против	Влияние на здоровье		
Гаджеты влияют на детей позитивно	Многие российские ученые считают, что длительное нахождение рядом с телефоном во время сна может иметь негативное влияние на человека.обавоквольтеничатьлевокатализомбируйменяпротивникомдействиемпротивникадействиемподозрительныйфактпротивоположноговниманияфактположительноговниманияпротивоположнымфактподозреваемыйпротивоположныхфактовпротивоположныфактапротивоположнаговниманияположительногофактаподозрительнопротивоположенственныфактаположительногопротивоположеныпротивоположныяфактанормальнопротивоположнынормальнодействуетпротивоположномудействуетпротивположномудействоватьпротивоположноедействоватьнормальносильнопротивположительномудействуетнормальнопротивположительногодейств	3	1	против	Влияние на здоровье			1	против	Влияние на здоровье			1	против	Влияние на здоровье		
Гаджеты влияют на детей позитивно	Некоторые компании используют гаджеты для сокращения рабочей нагрузки и снижения стресса.	2	0					1	за	Влияние на здоровье	Влияние на психику		1	за	Влияние на здоровье		
Гаджеты влияют на детей позитивно	"Оказалось, что использование подобных устройств уменьшает вероятность того, что они причинят вред здоровью, передает телеканал ""360""."	2	1	за	Влияние на здоровье			1	и за, и против	Влияние на здоровье			0				
Гаджеты влияют на детей позитивно	Они мешают детям получать положительные эмоции и помогают получать их отрицательные, считает глава отдела возрастной психологии, доктор философии и педагог-психолог Стэнфордского университета Келси Коэн.	3	1	и за, и против	Влияние на здоровье			1	против		Влияние на психику		1	против	Влияние на здоровье		
Гаджеты влияют на детей позитивно	Они могут привести к преждевременным родам, нарушению развития, депрессии, суициду.	2	1	против	Влияние на здоровье			1	против	Влияние на здоровье			0				
