topic	claim	source	text	argument_sum	argument_annotator_1	stance_annotator_1	aspect_1_annotator_1	aspect_2_annotator_1	aspect_3_annotator_1	argument_annotator_2	stance_annotator_2	aspect_1_annotator_2	aspect_2_annotator_2	aspect_3_annotator_2	argument_annotator_3	stance_annotator_3	aspect_1_annotator_3	aspect_2_annotator_3	aspect_3_annotator_3
Бумажные и электронные книги	Бумажные книги лучше электронных	https://lenta.ru/news/2002/10/17/sklyarov/	Американцы утверждают, что программа Advanced eBook Processor позволяет пользователям незаконно создавать аудио- и электронные копии книг в формате Adobe eBooks.	3	1	за	Юридический аспект			1	за	Юридический аспект			1	за	Юридический аспект		
Бумажные и электронные книги	Бумажные книги лучше электронных	https://lenta.ru/news/2009/12/01/readers/	В одну такую электронную книгу должны поместиться до двух тысяч обычных.	3	1	за	Удобство и комфорт			1	против	Удобство и комфорт			1	против	Удобство и комфорт		
Бумажные и электронные книги	Бумажные книги лучше электронных	https://lenta.ru/news/2000/03/10/ebook/	Например, очевидно, что для таких устройств не нужен мощный процессор, зато важен качественный и при этом портативный дисплей.	0	0					0					0				
Бумажные и электронные книги	Бумажные книги лучше электронных	https://lenta.ru/news/2011/05/03/quadruple/	Несмотря на это, отмечает издание, рост продаж свидетельствует о динамическом увеличении популярности и электронных книг, и читалок для них.	3	1	против	Популярность			1	против	Популярность			1	против	Популярность		
Бумажные и электронные книги	Бумажные книги лучше электронных	https://lenta.ru/news/2002/12/18/elcomsoft/	Обвинители настаивали на том, что программа Advanced eBook Processor сродни тем, которые можно использовать для изготовления нелегальных копий электронных книг.	3	1	за	Юридический аспект			1	за	Юридический аспект			1	за	Юридический аспект		
Бумажные и электронные книги	Бумажные книги лучше электронных	https://lenta.ru/news/2011/05/20/ebooks/	Он подчеркнул, что бумажные книги продаются через Amazon уже более 15 лет, а электронные книги для читалки Kindle менее 4 лет.	2	0					1	за	Популярность			1	за	Популярность		
Бумажные и электронные книги	Бумажные книги лучше электронных	https://lenta.ru/news/2002/12/18/elcomsoft/	Она дает возможность людям, которые легально приобрели электронные книги, читать их на любом компьютере.	3	1	против	Удобство и комфорт			1	против	Удобство и комфорт			1	против	Удобство и комфорт		
Бумажные и электронные книги	Бумажные книги лучше электронных	https://lenta.ru/news/2010/01/18/fifth/	Опрос, в котором участвовало 868 человек, также показал, что 30 процентов покупателей бумажных книг согласны ждать до трех месяцев после выхода книги, чтобы купить электронную версию.	1	0					1	против	Популярность			0				
Бумажные и электронные книги	Бумажные книги лучше электронных	https://lenta.ru/news/2000/03/10/ebook/	Очевидно, что для чтения текстов можно использовать и обычные компьютеры.	1	0					1	против	Удобство и комфорт			0				
Бумажные и электронные книги	Бумажные книги лучше электронных	https://lenta.ru/news/2009/12/01/readers/	По его словам, эти библиотеки будут экспериментальными, где традиционные книги заменят ридеры.	0	0					0					0				
Бумажные и электронные книги	Бумажные книги лучше электронных	https://lenta.ru/news/2010/01/18/fifth/	Только 28 процентов определенно купят электронную книгу с защитой цифровых прав, запрещающей переносить покупку с одного устройства на другое.	2	0					1	против	Юридический аспект			1	за	Юридический аспект		
Бумажные и электронные книги	Бумажные книги лучше электронных	https://lenta.ru/news/2009/12/01/readers/	Электронная книга также будет хранить иллюстрации и художественные шрифты.	3	1	против	Удобство и комфорт			1	против	Удобство и комфорт			1	против	Качество		
Детские гаджеты	Гаджеты влияют на детей позитивно	https://lenta.ru/news/2017/10/23/not_successful/	2 декабря 2015 года в калифорнийском городе Сан-Бернардино супружеская пара, этнические пакистанцы Ризван Фарук и Ташфин Малик, ворвалась в конференц-зал центра социального обеспечения и открыла огонь по людям, находившимся в помещении.	0	0					0					0				
Детские гаджеты	Гаджеты влияют на детей позитивно	https://lenta.ru/news/2017/12/18/smartphone/	В 2015 году американские психологи пришли к выводу, что мобильные приложения, которые применяются для успокоения плачущих детей, могут препятствовать нормальному развитию эмоциональной сферы.	3	1	против	Влияние на психику			1	против	Влияние на психику			1	против	Влияние на психику		
Детские гаджеты	Гаджеты влияют на детей позитивно	https://lenta.ru/news/2019/08/11/no_fun_allowed/	В 2017 году произошел скандал Elsagate  когда на YouTube обнаружили множество видеозаписей, содержащих сцены насилия, сексуальные фетиши, сделанные якобы для детей и находящиеся в списке рекомендаций с детскими мультфильмами.	3	1	против	Безопасность			1	против	Безопасность			1	против	Влияние на психику		
Детские гаджеты	Гаджеты влияют на детей позитивно	https://lenta.ru/news/2017/12/18/smartphone/	В докладе также отмечается, что использование гаджетов может навредить сну подростков, их психическому здоровью и способствовать нарушению концентрации внимания.	3	1	против	Влияние на психику			1	против	Влияние на психику			1	против	Влияние на психику		
Детские гаджеты	Гаджеты влияют на детей позитивно	https://lenta.ru/news/2015/07/21/selfi/	В Общественной палате ОП выступили против нанесения на упаковки смартфонов правил безопасного селфи.	0	0					0					0				
Детские гаджеты	Гаджеты влияют на детей позитивно	https://lenta.ru/news/2014/08/25/emotions/	В первых тестовых заданиях, проведенных до посещения лагеря, все участники сделали в среднем по 14 ошибок.	0	0					0					0				
Детские гаджеты	Гаджеты влияют на детей позитивно	https://lenta.ru/news/2017/10/23/not_successful/	В результате нападения погибли 14 человек, еще 21 человек получил ранения.	0	0					0					0				
Детские гаджеты	Гаджеты влияют на детей позитивно	https://lenta.ru/news/2015/07/21/selfi/	В Рязани 23 мая школьник разбился насмерть, попытаясь сделать снимок на железнодорожном мосту.	3	1	против	Безопасность			1	против	Безопасность			1	против	Безопасность		
Детские гаджеты	Гаджеты влияют на детей позитивно	https://lenta.ru/news/2015/07/21/selfi/	В свою очередь председатель комиссии по безопасности общественной палаты Антон Цветков заявил, что не нужно контролировать увлечение россиян селфи, достаточно пресекать доступ граждан к опасным объектам.	2	1	за	Безопасность			1	за	Безопасность			0				
Детские гаджеты	Гаджеты влияют на детей позитивно	https://lenta.ru/news/2019/08/11/no_fun_allowed/	В связи с этим многие блогеры создают специальные мультфильмы и шоу, многие из которых были подвергнуты критике как негативно влияющие на подрастающее поколение.	3	1	против	Безопасность			1	против	Влияние на психику			1	против	Влияние на психику		
Детские гаджеты	Гаджеты влияют на детей позитивно	https://lenta.ru/news/2017/07/25/fly_with_children/	В сложной ситуации семейные путешественники также могут попросить помощи у бортпроводников, говорит Эроглу.	0	0					0					0				
Детские гаджеты	Гаджеты влияют на детей позитивно	https://lenta.ru/news/2014/08/25/emotions/	Во время же второго испытания, проведенного после отдыха от девайсов, этот показатель среди участников эксперимента упал всего до девяти.	0	0					0					0				
Детские гаджеты	Гаджеты влияют на детей позитивно	https://lenta.ru/news/2015/07/21/selfi/	Вы можете умереть, захлебнувшись в тарелке с супом.	0	0					0					0				
Детские гаджеты	Гаджеты влияют на детей позитивно	https://lenta.ru/news/2019/10/16/gadgets/	Выяснилось, что люди в возрасте от 18 до 24 лет хранят наименьшее число фотографий в смартфонах.	0	0					0					0				
Детские гаджеты	Гаджеты влияют на детей позитивно	https://lenta.ru/news/2019/08/11/no_fun_allowed/	Глава видеосервиса YouTube Сьюзен Войжицки Susan Wojcicki заявила, что регулярно лишает своих детей смартфонов для того, чтобы они общались вместе и проводили время в реальности.	3	1	против	Общение с людьми			1	против	Общение с людьми			1	против	Общение с людьми		
Детские гаджеты	Гаджеты влияют на детей позитивно	https://lenta.ru/news/2017/12/18/smartphone/	Департамент здравоохранения Калифорнии опубликовал доклад об опасности для здоровья, которую представляют оставленные рядом со спящим человеком смартфоны.	3	1	против	Влияние на здоровье			1	против	Влияние на психику			1	против	Влияние на здоровье		
Детские гаджеты	Гаджеты влияют на детей позитивно	https://lenta.ru/news/2018/10/31/brsm/	Дети сейчас настолько продвинутые  с гаджетами, что нужно каждое слово свое контролировать, фильтровать.	0	0					0					0				
Детские гаджеты	Гаджеты влияют на детей позитивно	https://lenta.ru/news/2014/08/25/emotions/	Дефицит общения с живыми людьми приводит к утрате важных социальных навыков,  подчеркнула ведущий автор исследования Ялда Ульс Yalda Uhls.	3	1	против	Общение с людьми			1	против	Общение с людьми			1	против	Общение с людьми		
Детские гаджеты	Гаджеты влияют на детей позитивно	https://lenta.ru/news/2019/08/11/no_fun_allowed/	Для меня важно, чтобы дети научились ответственно подходить к тому, сколько времени у них занимают гаджеты.	0	0					0					0				
Детские гаджеты	Гаджеты влияют на детей позитивно	https://lenta.ru/news/2017/01/26/saratosvii_iphone/	Его директор Евгений Резник тогда отметил, что на покупку лицензии не хватит денег.	0	0					0					0				
Детские гаджеты	Гаджеты влияют на детей позитивно	https://lenta.ru/news/2016/07/19/onischenko_pokemon/	Если же действие переносится в дополненную реальность, то этот вред, по его мнению, может усиливаться.	0	0					0					0				
Детские гаджеты	Гаджеты влияют на детей позитивно	https://lenta.ru/news/2017/01/26/saratosvii_iphone/	Есть свои сложности, чтобы перестроить коллектив и перейти на другой товар, но нужно производить востребованный продукт.	0	0					0					0				
Детские гаджеты	Гаджеты влияют на детей позитивно	https://lenta.ru/news/2018/11/22/anime/	Женщина из Минобра также доверительно поведала мне, что в аниме есть 25-й кадр и скрытые коды из слов, чтобы разрушить нацию, в Европе давно уже запретили аниме, а сходки анимешников  секта.	1	0					1	против	Влияние на психику			0				
Детские гаджеты	Гаджеты влияют на детей позитивно	https://lenta.ru/news/2018/03/21/wc/	Интернет в общественных уборных необходим прежде всего для того, чтобы эти туалеты отображались в электронных картах общественных пространств для смартфонов, пояснил замминистра в ходе заседания экспертного совета по формированию комфортной городской среды.	0	0					0					0				
Детские гаджеты	Гаджеты влияют на детей позитивно	https://lenta.ru/news/2019/08/23/tel/	Как сообщили в ведомстве, долгое пользование смартфоном и использование его в школе может негативно повлиять на психику ребенка, привести к нарушениям сна и снижению умственной работоспособности.	3	1	против	Влияние на психику			1	против	Влияние на психику			1	против	Влияние на психику		
