topic	claim	source	text	argument_sum	argument_annotator_1	stance_annotator_1	aspect_1_annotator_1	aspect_2_annotator_1	aspect_3_annotator_1	argument_annotator_2	stance_annotator_2	aspect_1_annotator_2	aspect_2_annotator_2	aspect_3_annotator_2	argument_annotator_3	stance_annotator_3	aspect_1_annotator_3	aspect_2_annotator_3	aspect_3_annotator_3
Бумажные и электронные книги	Бумажные книги лучше электронных	https://ru.wikipedia.org/wiki?curid=351106	16 июля 2001 года на проходившей в США конференции DEFCON Дмитрий представил свой доклад на тему защиты электронных книг и продемонстрировал практически полную незащищённость формата PDF с использованием программы Advanced eBook Processor.	2	1	за	Юридический аспект			0					1	против	Безопасность		
Бумажные и электронные книги	Бумажные книги лучше электронных	https://ru.wikipedia.org/wiki?curid=69932	Microsoft Word и TeX крайне сложны в обработке.	0	0					0					0				
Бумажные и электронные книги	Бумажные книги лучше электронных	https://ru.wikipedia.org/wiki?curid=69932	XML позволяет легко создавать документы, готовые к непосредственному использованию и программной обработке преобразованию, хранению, управлению в любой среде.	0	0					0					0				
Бумажные и электронные книги	Бумажные книги лучше электронных	https://ru.wikipedia.org/wiki?curid=69932	К примеру, в электронную библиотеку поступила книга в формате codice_1.	0	0					0					0				
Бумажные и электронные книги	Бумажные книги лучше электронных	https://ru.wikipedia.org/wiki?curid=3114639	Кроме того, информацию о книге можно получить из интернета с помощью ISBN.	0	0					0					0				
Бумажные и электронные книги	Бумажные книги лучше электронных	https://ru.wikipedia.org/wiki?curid=3114639	Многие возможности программы например управление библиотекой и информацией о книге позволяют использовать правила, созданные пользователем самостоятельно.	2	1	против	Удобство и комфорт			1	против	Удобство и комфорт			0				
Бумажные и электронные книги	Бумажные книги лучше электронных	https://ru.wikipedia.org/wiki?curid=69932	Немногочисленные карманные устройства, появившиеся в начале 2000-х, имели свои книжные форматы и зачастую некачественное ПО для их чтения.	2	1	за	Удобство и комфорт			1	за	Удобство и комфорт			0				
Бумажные и электронные книги	Бумажные книги лучше электронных	https://ru.wikipedia.org/wiki?curid=69932	Поэтому FB2 претендует на роль универсального формата хранения книг, который можно автоматически переводить в HTML, PDF и другие форматы.	1	0					0					1	за	Удобство и комфорт		
Бумажные и электронные книги	Бумажные книги лучше электронных	https://ru.wikipedia.org/wiki?curid=3114639	Программа имеет большие возможности для управления и настройки.	2	1	против	Удобство и комфорт			1	против	Удобство и комфорт			0				
Бумажные и электронные книги	Бумажные книги лучше электронных	https://ru.wikipedia.org/wiki?curid=145643	Пытаясь достойно применить этот ресурс, он создал первую электронную книгу Декларация независимости США, когда впечатал её текст в компьютер.	0	0					0					0				
Бумажные и электронные книги	Бумажные книги лучше электронных	https://ru.wikipedia.org/wiki?curid=69932	Таким образом, намного упрощается процесс помещения в библиотеку новых книг.	0	0					0					0				
Бумажные и электронные книги	Бумажные книги лучше электронных	https://ru.wikipedia.org/wiki?curid=145643	Файлы современных электронных мультимедиа-книг помимо текста содержат несколько каналов восприятия звуковой-музыкальный, изобразительно-динамический фотографии и галереи и интерактивно-ментальный.	2	1	против	Удобство и комфорт			1	против	Удобство и комфорт			0				
Бумажные и электронные книги	Бумажные книги лучше электронных	https://ru.wikipedia.org/wiki?curid=69932	Формат недостаточно выразителен для учебников, справочников и научных публикаций о чём говорит даже название художественная книга.	0	0					0					0				
Детские видеоблоги	Следует поощрять детей создавать видеоблоги	https://ru.wikipedia.org/wiki?curid=7893594	4 июня 2021 года в своём обращении по результатам заседания СНБО Зеленский заявил, что в результате выполнения решений СНБО удалось достичь практически нулевого влияния воров в законе на криминогенную ситуацию в Украине.	0	0					0					0				
Детские видеоблоги	Следует поощрять детей создавать видеоблоги	https://ru.wikipedia.org/wiki?curid=7690325	YouTube, однако, предоставляет в Pro-версии возможность превратить известность и признание в деньги, что стимулирует работу блогера по расширению аудитории подписчиков.	3	1	за	Доходность			1	за	Доходность			1	за	Доходность		
Детские видеоблоги	Следует поощрять детей создавать видеоблоги	https://ru.wikipedia.org/wiki?curid=7690325	А тот стремится к широкому признанию массовой аудитории YouTube.	0	0					0					0				
Детские видеоблоги	Следует поощрять детей создавать видеоблоги	https://ru.wikipedia.org/wiki?curid=7690325	Авторы делают вывод, что обливание ледяной водой и размещение видео этого действия в Интернете не врожденная деятельность, а сложное поведение, приобретаемое в результате подражания.	0	0					0					0				
Детские видеоблоги	Следует поощрять детей создавать видеоблоги	https://ru.wikipedia.org/wiki?curid=7690325	Авторы статьи считают челлендж инновационным инструментом, который внедряется в различные культурные среды и объединяет людей по всему миру.	1	0					0					1	за	Общение с людьми		
Детские видеоблоги	Следует поощрять детей создавать видеоблоги	https://ru.wikipedia.org/wiki?curid=7690325	Акт создания виртуальной реальности в челлендже порождает властные отношения.	2	0					1	против	Влияние на психику			1	против	Общение с людьми		
Детские видеоблоги	Следует поощрять детей создавать видеоблоги	https://ru.wikipedia.org/wiki?curid=7690325	Американская исследовательница феномена игры как достоинство челленджа отмечает, что любой человек может создать челлендж и пригласить кого угодно сыграть в него.	0	0					0					0				
Детские видеоблоги	Следует поощрять детей создавать видеоблоги	https://ru.wikipedia.org/wiki?curid=7690325	В виртуальном мире всё должно быть ярко и необычно поэтому виртуализация реальности требует предварительного разрушения священных образов как скучных, и это, по мнению Петренко, приводит к созданию челленджей, необычных по своему содержанию и форме, что не решает проблему одиночества, а только усугубляет её.	3	1	против	Влияние на психику			1	против	Влияние на психику			1	против	Влияние на психику		
Детские видеоблоги	Следует поощрять детей создавать видеоблоги	https://ru.wikipedia.org/wiki?curid=7893594	В документе также отмечено, что спецслужбы государства-агрессора пытаются усилить внутренние противоречия на Украине, а поэтому санкции действенный механизм ответа на такие действия.	0	0					0					0				
Детские видеоблоги	Следует поощрять детей создавать видеоблоги	https://ru.wikipedia.org/wiki?curid=7893594	В заключении было отмечено хотя развитие государственного языка через систему образования и доступ к бесплатным языковым курсам и фильмам на украинском языке следует поощрять, закон необходимо пересмотреть, поскольку он может стать источником межэтнической напряжённости.	0	0					0					0				
Детские видеоблоги	Следует поощрять детей создавать видеоблоги	https://ru.wikipedia.org/wiki?curid=7893594	В качестве ключевой рекомендации с целью устранения дискриминации языковых прав национальных меньшинств было предложено срочно подготовить новый закон о национальных меньшинствах и рассмотреть возможность отложить до принятия этого закона выполнение положений Закона о государственном языке, которые уже вступили в силу.	0	0					0					0				
Детские видеоблоги	Следует поощрять детей создавать видеоблоги	https://ru.wikipedia.org/wiki?curid=7690325	В мире гиперреальности духовные ценности теряют своё значение и заменяются симулякрами.	2	1	против	Влияние на психику			0					1	против	Моральный аспект		
Детские видеоблоги	Следует поощрять детей создавать видеоблоги	https://ru.wikipedia.org/wiki?curid=7893594	В первую очередь россиянам, которые сегодня страдают едва ли не больше всех.	0	0					0					0				
Детские видеоблоги	Следует поощрять детей создавать видеоблоги	https://ru.wikipedia.org/wiki?curid=7893594	В пропрезидентской партии Слуга народа пояснили такой статус может навредить продвижению страны в НАТО и не даёт ей гарантий безопасности.	0	0					0					0				
Детские видеоблоги	Следует поощрять детей создавать видеоблоги	https://ru.wikipedia.org/wiki?curid=7893594	В связи с этим санкционное давление на Москву должно быть усилено с тем, чтобы обеспечить восстановление украинского суверенитета над оккупированными территориями и возвращение Крыма.	0	0					0					0				
Детские видеоблоги	Следует поощрять детей создавать видеоблоги	https://ru.wikipedia.org/wiki?curid=7893594	В совместном заявлении США лишь поддержали право Украины определять свой внешнеполитический курс свободно от внешнего вмешательства, включая стремление Украины вступить в НАТО.	0	0					0					0				
Детские видеоблоги	Следует поощрять детей создавать видеоблоги	https://ru.wikipedia.org/wiki?curid=7690325	В челлендже как и в любой игре отсутствует будущее, значение придаётся настоящему, процессу, самой игре.	0	0					0					0				
Детские видеоблоги	Следует поощрять детей создавать видеоблоги	https://ru.wikipedia.org/wiki?curid=7690325	В челлендже участник должен выполнять задания различного уровня сложности.	0	0					0					0				
Детские видеоблоги	Следует поощрять детей создавать видеоблоги	https://ru.wikipedia.org/wiki?curid=7690325	В этом отношении, по словам Петренко, челлендж способ борьбы со скукой, которая является спутником одиночества и внутренней опустошённости следует получать очки, отвечать на действия другого участника.	1	1	за	Влияние на психику			0					0				
Детские видеоблоги	Следует поощрять детей создавать видеоблоги	https://ru.wikipedia.org/wiki?curid=7690325	Вице-президент Общероссийской профессиональной психотерапевтической лиги Инга Румянцева считает, что челленджи могут привести к отклонениям в поведении участников.	2	1	против	Влияние на психику			0					1	против	Влияние на психику		
Детские видеоблоги	Следует поощрять детей создавать видеоблоги	https://ru.wikipedia.org/wiki?curid=7690325	Во многих регионах после заявлений родителей подобные жвачки были изъяты из продажи.	0	0					0					0				
Детские видеоблоги	Следует поощрять детей создавать видеоблоги	https://ru.wikipedia.org/wiki?curid=7893594	В-четвёртых, необходимо продолжать и эффективно воплощать в жизнь Соглашение об ассоциации Украины с Евросоюзом.	0	0					0					0				
Детские видеоблоги	Следует поощрять детей создавать видеоблоги	https://ru.wikipedia.org/wiki?curid=7690325	Выполнение заданий якобы способствует формированию чувства юмора и раскрепощённости.	1	1	за	Влияние на психику			0					0				
